IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP31;IP_PROP32;IP_PROP33;IP_PROP34;IC_GROUP0;IC_GROUP1;IC_GROUP2
628;Блокнот NEDRA;628;Y;;;/upload/iblock/ef5/ef5eed0ce6b0e4e098fb2fafe64be051.jpg;Блокнот для записей в твердом переплете из дизайнерской бумаги с печатью УФ красками;text;/upload/iblock/f8b/f8bb1bdfabfee4d39f301e1847713e0d.jpg;Блокнот для записей в твердом переплете из дизайнерской бумаги с печатью УФ красками;text;bloknot-nedra;500;;;;;;Деловая полиграфия;Блокноты;
223;Сувенирные блокноты;492;Y;26.08.2014 17:52:48;;/upload/iblock/291/291b6911dfd52416a2fb64b393fe4458.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов;html;/upload/iblock/fe8/fe8316032cfeb5b4bffa44cb1811eefd.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов.;html;bloknoty;500;;Сувенирные блокноты;Сувенирные блокноты;Сувенирные блокноты;/upload/iblock/7ba/7bad47a9696b78e0aa8af2ffb7f8aa59.jpg;Деловая полиграфия;Блокноты;
223;Сувенирные блокноты;492;Y;26.08.2014 17:52:48;;/upload/iblock/291/291b6911dfd52416a2fb64b393fe4458.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов;html;/upload/iblock/fe8/fe8316032cfeb5b4bffa44cb1811eefd.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов.;html;bloknoty;500;;Сувенирные блокноты;Сувенирные блокноты;Сувенирные блокноты;/upload/iblock/bb0/bb017c7515b5d442104663713390a688.jpg;Деловая полиграфия;Блокноты;
223;Сувенирные блокноты;492;Y;26.08.2014 17:52:48;;/upload/iblock/291/291b6911dfd52416a2fb64b393fe4458.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов;html;/upload/iblock/fe8/fe8316032cfeb5b4bffa44cb1811eefd.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов.;html;bloknoty;500;;Сувенирные блокноты;Сувенирные блокноты;Сувенирные блокноты;/upload/iblock/cad/cadc5b2ec40f7f51d3c852adb002c1f6.jpg;Деловая полиграфия;Блокноты;
223;Сувенирные блокноты;492;Y;26.08.2014 17:52:48;;/upload/iblock/291/291b6911dfd52416a2fb64b393fe4458.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов;html;/upload/iblock/fe8/fe8316032cfeb5b4bffa44cb1811eefd.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов.;html;bloknoty;500;;Сувенирные блокноты;Сувенирные блокноты;Сувенирные блокноты;/upload/iblock/eb6/eb6f7e537a5de01ef46b0d1ceb4f9a7d.jpg;Деловая полиграфия;Блокноты;
223;Сувенирные блокноты;492;Y;26.08.2014 17:52:48;;/upload/iblock/291/291b6911dfd52416a2fb64b393fe4458.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов;html;/upload/iblock/fe8/fe8316032cfeb5b4bffa44cb1811eefd.jpg;Блокноты, как деловая полиграфия с возможностью чистого блока, а так же с логотипом на каждой странице, с разным количеством листов.;html;bloknoty;500;;Сувенирные блокноты;Сувенирные блокноты;Сувенирные блокноты;/upload/iblock/56f/56fef1cf34d143e1153e1c4bb80f311c.jpg;Деловая полиграфия;Блокноты;
28;Брошюра Сколково;309;Y;08.11.2013 13:11:48;;/upload/iblock/038/038e50e2145a44b45d75cd184d1c0e8d.jpg;"Формат - альбомный А4; Обложка – мелованный картон, матовая ламинация; Блок – 150гр мелованная бумага. Скрепление на серебряные матовые болты";text;/upload/iblock/d50/d5042c4264dfe3e708e20b72fc5b1852.jpg;;text;broshyura-skolkovo;500;;Брошюра Сколково;Брошюра Сколково;Брошюра Сколково;/upload/iblock/744/74476ad3e6260b95bac2639f6b2284cb.jpg;Брошюры;;
281;Листовка А3 BUILDEX ;538;Y;10.03.2015 17:34:46;;/upload/iblock/273/273ce10b13baf00d679d82f048849363.jpg;Выставочная листовка на бумаге 170гр. 4+4;html;;"<p>Листовка Buildex формат А3, мелованная бумага, полноцветная печать
</p>
";html;buildex-listovka-a3;500;;Листовка А3 BUILDEX ;Листовка А3 BUILDEX ;Листовка А3 BUILDEX ;/upload/iblock/7c2/7c216604029d7d29e4c1c57fe306ed94.jpg;Листовки;;
41;Буклет ДИНАМО;322;Y;08.11.2013 20:16:42;;/upload/iblock/8c5/8c5bb237a5a03582321f1352350eae9d.jpg;"Формат А4 (в развороте). Мелованная бумага 150гр/м&sup2;, матовая ламинация 1+1, выборочный УФ-лак";html;/upload/iblock/069/069e773bb5de39f647821046c752e0a8.jpg;;html;buklet-dinamo;500;;Буклет ДИНАМО;Буклет ДИНАМО;Буклет ДИНАМО;/upload/iblock/752/7522107cda23265b5bb60f03d76cb304.jpg;Буклеты, лифлеты;Буклеты;
624;Бумажный пакет NEDRA;624;Y;;;/upload/iblock/63b/63be1b7509c5c008d3bef2eb803068bf.jpg;"Пакеты выполнены из дизайнерской бумаги с печатью методом шелкографии и УФ-лака.
Укрепленное дно и веревочные ручки в цвет логотипа.";text;/upload/iblock/cbf/cbf40d0212ec590d9d7c39949bd1b490.jpg;"Пакеты выполнены из дизайнерской бумаги с печатью методом шелкографии и УФ-лака.
Укрепленное дно и веревочные ручки в цвет логотипа.";text;bumazhnyy-paket-nedra;500;;;;;/upload/iblock/b3f/b3f6c0899e96af4b6f3335c6b59e2a75.jpg;Пакеты, упаковка;Бумажные пакеты;
